SetNumber,URL,Description,Notes,DateAdded,DateRetrieved
"30522-1","http://cache.lego.com/bigdownloads/buildinginstructions/6187391.pdf","Batman™ in the Phantom Zone","BI 2002/ 2, 30522 V39","2017-01-03","2017-06-28"
"30523-1","http://cache.lego.com/bigdownloads/buildinginstructions/6187394.pdf","The Joker™ Battle Training","BI 2002/ 2, 30523 V29","2017-01-03","2017-06-28"
"30523-1","http://cache.lego.com/bigdownloads/buildinginstructions/6187396.pdf","The Joker™ Battle Training","BI 2002/ 2, 30523 V39","2017-01-03","2017-06-28"
"30524-1","http://cache.lego.com/bigdownloads/buildinginstructions/6187397.pdf","The Mini Batwing","BI 9005 60X50 LEAFLET, 30524 V29","2017-01-03","2017-06-28"
"30524-1","http://cache.lego.com/bigdownloads/buildinginstructions/6187399.pdf","The Mini Batwing","BI 9005 60X50 LEAFLET, 30524 V39","2017-01-03","2017-06-28"
"30546-1","http://cache.lego.com/bigdownloads/buildinginstructions/6196850.pdf","Krypto™ saves the day","BI 9005/60X50 LEAFLET, 30546 V29","2017-01-03","2017-06-28"
"30546-1","http://cache.lego.com/bigdownloads/buildinginstructions/6196851.pdf","Krypto™ saves the day","BI 9005/60X50 LEAFLET, 30546 V39","2017-01-03","2017-06-28"
"30551-1","http://cache.lego.com/bigdownloads/buildinginstructions/6188745.pdf","Cinderella's Kitchen","BI 2002/2, 30551 V29","2017-01-03","2017-06-28"
"30551-1","http://cache.lego.com/bigdownloads/buildinginstructions/6188746.pdf","Cinderella's Kitchen","BI 2002/2, 30551 V39","2017-01-03","2017-06-28"
"30603-1","http://cache.lego.com/bigdownloads/buildinginstructions/6168674.pdf","Batman™ Classic TV Series - Mr. Freeze™","BI 2001/ 2, 30603 V29","2016-03-02","2017-06-28"
"30603-1","http://cache.lego.com/bigdownloads/buildinginstructions/6168676.pdf","Batman™ Classic TV Series - Mr. Freeze™","BI 2001/ 2, 30603 V39","2016-03-02","2017-06-28"
"30604-1","http://cache.lego.com/bigdownloads/buildinginstructions/6155726.pdf","Cosmic Boy™","BI 2001/ 2 - 30604 V29","2016-01-03","2017-06-28"
"30604-1","http://cache.lego.com/bigdownloads/buildinginstructions/6155728.pdf","Cosmic Boy™","BI 2001/ 2 - 30604 V39","2016-01-03","2017-06-28"
"30606-1","http://cache.lego.com/bigdownloads/buildinginstructions/6167397.pdf","Nightwing™","BI 2001/ 2, 30606 V29","2016-06-03","2017-06-28"
"30606-1","http://cache.lego.com/bigdownloads/buildinginstructions/6167398.pdf","Nightwing™","BI 2001/ 2, 30606 V39","2016-06-03","2017-06-28"
"30608-1","http://cache.lego.com/bigdownloads/buildinginstructions/6205469.pdf","CONF_TTGAMES","BI 2001/ 2, 30608 V29","2017-06-03","2017-06-28"
"30608-1","http://cache.lego.com/bigdownloads/buildinginstructions/6205472.pdf","CONF_TTGAMES","BI 2001/ 2, 30608 V39","2017-06-03","2017-06-28"
"30611-1","http://cache.lego.com/bigdownloads/buildinginstructions/6194447.pdf","R2-D2™","BI 2002/ 2, 30611 V29","2017-01-03","2017-06-28"
"30611-1","http://cache.lego.com/bigdownloads/buildinginstructions/6194449.pdf","R2-D2™","BI 2002/ 2, 30611 V39","2017-01-03","2017-06-28"
"30612-1","http://cache.lego.com/bigdownloads/buildinginstructions/6195531.pdf","Batgirl™","INSPIRATIONAL MATERIAL, 30612 V29","2017-01-03","2017-06-28"
"30612-1","http://cache.lego.com/bigdownloads/buildinginstructions/6195532.pdf","Batgirl™","INSPIRATIONAL MATERIAL, 30612 V39","2017-01-03","2017-06-28"
"31000-1","http://cache.lego.com/bigdownloads/buildinginstructions/6037709.pdf","Mini Speeder","BI Creator 148x88 - 24, 31000 V29","2013-01-09","2017-06-28"
"31000-1","http://cache.lego.com/bigdownloads/buildinginstructions/6037710.pdf","Mini Speeder","BI Creator 148x88 - 24, 31000 V39","2012-12-01","2017-06-28"
"31001-1","http://cache.lego.com/bigdownloads/buildinginstructions/6037714.pdf","Mini Skyflyer","BI Creator 148x88 - 24, 31001 V39","2012-12-01","2017-06-28"
"31001-1","http://cache.lego.com/bigdownloads/buildinginstructions/6037713.pdf","Mini Skyflyer","BI Creator 148x88 - 24, 31001 V29","2013-01-09","2017-06-28"
"31002-1","http://cache.lego.com/bigdownloads/buildinginstructions/6035412.pdf","Super Racer","BI 3010/48-65G, 31002 v39 1 AF 2","2012-12-01","2017-06-28"
"31002-1","http://cache.lego.com/bigdownloads/buildinginstructions/6035415.pdf","Super Racer","BI 3010/72+4*, 31002 V39 2 AF 2","2012-12-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036026.pdf","Red Rotors","BI 3010/40-65G, 31003 V29 3 af 3","2013-01-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036028.pdf","Red Rotors","BI 3010/40-65G, 31003 V39 3 af 3","2013-01-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036024.pdf","Red Rotors","BI 3010/44-65G, 31003 V29 2 af 3","2013-01-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036025.pdf","Red Rotors","BI 3010/44-65G, 31003 V39 2 af 3","2013-01-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036021.pdf","Red Rotors","BI 3010/56-65G, 31003 V29 1 af 3","2013-01-01","2017-06-28"
"31003-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036023.pdf","Red Rotors","BI 3010/56-65G, 31003 V39 1 af 3","2013-01-01","2017-06-28"
"31004-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036221.pdf","Fierce Flyer","BI 3010/56-65G, 31004 V39 1 AF 2","2012-12-01","2017-06-28"
"31004-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036223.pdf","Fierce Flyer","BI 3010/68+4*, 31004 V39 2 AF 2","2012-12-01","2017-06-28"
"31005-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036226.pdf","Construction Hauler","BI 3004/60+4*-, 31005 V39 1 AF 2","2012-12-01","2017-06-28"
"31005-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036428.pdf","Construction Hauler","BI 3004/80+4*-, 31005 V39 2 AF 2","2012-12-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039841.pdf","Highway Speedster","BI 3004 60, 31006 V29 2/3","2013-01-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039842.pdf","Highway Speedster","BI 3004 60, 31006 V39 2/3","2013-01-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039843.pdf","Highway Speedster","BI 3004/52 , 31006 V29 3/3","2013-01-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039844.pdf","Highway Speedster","BI 3004/52, 31006 V39 3/3","2013-01-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039839.pdf","Highway Speedster","BI 3004/80+4, 31006 V29 1/3","2013-01-01","2017-06-28"
"31006-1","http://cache.lego.com/bigdownloads/buildinginstructions/6039840.pdf","Highway Speedster","BI 3004/80+4, 31006 V39 1/3","2013-01-01","2017-06-28"
"31007-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036599.pdf","Power Mech","BI 3022 / 64+4 - 65/115g,31007  V39 1AF3","2012-12-01","2017-06-28"
"31007-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036296.pdf","Power Mech","BI 3022/52-65G, 31007 V39 2 AF 3","2012-12-01","2017-06-28"
"31007-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036298.pdf","Power Mech","BI 3022/52-65G, 31007 V39 3 AF 3","2012-12-01","2017-06-28"
"31008-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036304.pdf","Thunder Wings","BI 3004/56 -, 31008 V39 3 AF 3","2012-12-01","2017-06-28"
"31008-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036302.pdf","Thunder Wings","BI 3004/60+4*-, 31008 V39 2 AF 3","2012-12-01","2017-06-28"
"31008-1","http://cache.lego.com/bigdownloads/buildinginstructions/6036300.pdf","Thunder Wings","BI 3004/80+4*-, 31008 V39 1 AF 3","2012-12-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038252.pdf","Small Cottage","BI 3004/60+4*, 31009 V29 2/3","2013-01-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038254.pdf","Small Cottage","BI 3004/60+4*, 31009 V29 3/3","2013-01-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038253.pdf","Small Cottage","BI 3004/60+4*, 31009 V39 2/3","2013-01-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038255.pdf","Small Cottage","BI 3004/60+4*, 31009 V39 3/3","2013-01-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038244.pdf","Small Cottage","BI 3004/80+4*, 31009 V29 1/3","2013-01-01","2017-06-28"
"31009-1","http://cache.lego.com/bigdownloads/buildinginstructions/6038245.pdf","Small Cottage","BI 3004/80+4*, 31009 V39 1/3","2013-01-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049032.pdf","Treehouse","BI 3017 / 60+4 - 65/115g, 3101´0 2/3 V39","2013-06-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049031.pdf","Treehouse","BI 3017 / 60+4 - 65/115g, 31010 2/3 V29","2013-06-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049033.pdf","Treehouse","BI 3017 / 60+4 - 65/115g, 31010 3/3 V29","2013-06-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049034.pdf","Treehouse","BI 3017 / 60+4 - 65/115g, 31010 3/3 V39","2013-06-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6063577.pdf","Treehouse","BI 3017 / 72+4 - 65/115g, 31010 1/3 V29","2013-06-01","2017-06-28"
"31010-1","http://cache.lego.com/bigdownloads/buildinginstructions/6063584.pdf","Treehouse","BI 3017 / 72+4 - 65/115g, 31010 1/3 V39","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049035.pdf","Aviation Adventures","BI 3016 80+4*-, 31011 1/3 V29","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049036.pdf","Aviation Adventures","BI 3016 80+4*-, 31011 1/3 V39","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049039.pdf","Aviation Adventures","BI 3016/56, 31011 3/3 V29","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049040.pdf","Aviation Adventures","BI 3016/56, 31011 3/3 V39","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049037.pdf","Aviation Adventures","BI 3016/64+4, 31011 2/3 V29","2013-06-01","2017-06-28"
"31011-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049038.pdf","Aviation Adventures","BI 3016/64+4, 31011 2/3 V39","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049041.pdf","Family House","BI 3016 60/65g, 31012 1/4 V29","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049042.pdf","Family House","BI 3016 60/65g, 31012 1/4 V39","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049043.pdf","Family House","BI 3016/56, 31012 2/4 V29","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049044.pdf","Family House","BI 3016/56, 31012 2/4 V39","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049045.pdf","Family House","BI 3016/72+4, 31012 3/4 V29","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049046.pdf","Family House","BI 3016/72+4, 31012 3/4 V39","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049047.pdf","Family House","BI 3016/72+4, 31012 4/4 V29","2013-06-01","2017-06-28"
"31012-1","http://cache.lego.com/bigdownloads/buildinginstructions/6049048.pdf","Family House","BI 3016/72+4, 31012 4/4 V39","2013-06-01","2017-06-28"
"31013-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071637.pdf","Red Thunder","BI 3001/32, 31013, V39","2013-12-02","2017-06-28"
"31013-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071633.pdf","Red Thunder","BI 3001/32, 31013, V29","2014-01-01","2017-06-28"
"31014-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071639.pdf","Power Digger","BI 3001/36-65G, 31014, V29","2014-01-01","2017-06-28"
"31014-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071640.pdf","Power Digger","BI 3001/36-65G, 31014, V39","2013-12-02","2017-06-28"
"31015-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071649.pdf","Emerald Express","BI 3001/32, 31015, V39","2013-12-02","2017-06-28"
"31015-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071644.pdf","Emerald Express","BI 3001/32, 31015, V29","2014-01-01","2017-06-28"
"31017-1","http://cache.lego.com/bigdownloads/buildinginstructions/6092168.pdf","Sunset Speeder","BI 3010/48-65G, 31017 BOOK 1/2 V39","2013-12-02","2017-06-28"
"31017-1","http://cache.lego.com/bigdownloads/buildinginstructions/6081521.pdf","Sunset Speeder","BI 3010/68+4/65+115g,BOOK 2/2,31017 V39","2013-12-02","2017-06-28"
"31017-1","http://cache.lego.com/bigdownloads/buildinginstructions/6092167.pdf","Sunset Speeder","BI 3010/48-65G, 31017 BOOK 1/2 V29","2014-01-01","2017-06-28"
"31017-1","http://cache.lego.com/bigdownloads/buildinginstructions/6081520.pdf","Sunset Speeder","BI 3010/68+4/65+115g,BOOK 2/2,31017 V29","2014-01-01","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071665.pdf","Highway Cruiser","BI 3010/40-65G, BOOK 3/3, 31018, V29","2014-01-01","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071660.pdf","Highway Cruiser","BI 3010/52-65G, BOOK1/3, 31018, V29","2014-01-01","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071663.pdf","Highway Cruiser","BI 3010/56-65G, BOOK 2/3 , 31018, V29","2014-01-01","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071666.pdf","Highway Cruiser","BI 3010/40-65G, BOOK 3/3, 31018, V39","2013-12-02","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071662.pdf","Highway Cruiser","BI 3010/52-65G, BOOK1/3, 31018, V39","2013-12-02","2017-06-28"
"31018-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071664.pdf","Highway Cruiser","BI 3010/56-65G, BOOK 2/3, 31018, V39","2013-12-02","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6081518.pdf","Forest Animals","BI 3022 / 60 / 65g, BOOK 1/3,31019 V29","2014-01-01","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071672.pdf","Forest Animals","BI 3022/36-65G, BOOK 3/3, 31019, V29","2014-01-01","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071670.pdf","Forest Animals","BI 3022/40-65G, BOOK 2/3, 31019, V29","2014-01-01","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6081519.pdf","Forest Animals","BI 3022 / 60 / 65g, BOOK 1/3, 31019,V39","2013-12-02","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071673.pdf","Forest Animals","BI 3022/36-65G, BOOK 3/3, 31019, V39","2013-12-02","2017-06-28"
"31019-1","http://cache.lego.com/bigdownloads/buildinginstructions/6071671.pdf","Forest Animals","BI 3022/40-65G, BOOK 2/3, 31019, V39","2013-12-02","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073950.pdf","Twinblade Adventures","BI 3003/36- 31020 BOOK 1/3 V39","2013-12-02","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073954.pdf","Twinblade Adventures","{No longer listed at LEGO.com}","2013-12-02","2014-06-29"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073957.pdf","Twinblade Adventures","BI 3003/36- 31020 BOOK 3/3 V39","2013-12-02","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073944.pdf","Twinblade Adventures","BI 3003/36- 31020  BOOK 1/3 V29","2014-01-01","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073953.pdf","Twinblade Adventures","{No longer listed at LEGO.com}","2014-01-01","2014-06-29"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073956.pdf","Twinblade Adventures","BI 3003/36- 31020 BOOK 3/3 V29","2014-01-01","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6116552.pdf","Twinblade Adventures","BI 3003/36- 31020 BOOK 2/3 V29","2014-07-05","2017-06-28"
"31020-1","http://cache.lego.com/bigdownloads/buildinginstructions/6116553.pdf","Twinblade Adventures","BI 3003/36-31020 BOOK 2/3 V39","2014-07-05","2017-06-28"
"31021-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073959.pdf","Furry Creatures","BI 3004/60+4 - 31021 BOOK 1/2 V29","2014-01-02","2017-06-28"
"31021-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073960.pdf","Furry Creatures","BI 3004/60+4 - 31021 BOOK 1/2 V39","2014-01-02","2017-06-28"
"31021-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073961.pdf","Furry Creatures","BI 3004/80+4 - 31021 BOOK 2/2 V29","2014-01-02","2017-06-28"
"31021-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073963.pdf","Furry Creatures","BI 3004/80+4 - 31021 BOOK 2/2 V39","2014-01-02","2017-06-28"
"31022-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073965.pdf","Turbo Quad","BI 3004/56 - 31022 BOOK 1/2 V29","2014-01-02","2017-06-28"
"31022-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073968.pdf","Turbo Quad","BI 3004/56 - 31022 BOOK 1/2 V39","2014-01-02","2017-06-28"
"31022-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073969.pdf","Turbo Quad","BI 3004/80+4 - 31022 BOOK 2/2 V29","2014-01-02","2017-06-28"
"31022-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073970.pdf","Turbo Quad","BI 3004/80+4 - 31022 BOOK 2/2 V39","2014-01-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089015.pdf","Yellow Racers","BI 3004/52 - 31023 3/3 V29","2014-06-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089016.pdf","Yellow Racers","BI 3004/52 - 31023 3/3 V39","2014-06-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6086644.pdf","Yellow Racers","BI 3004/64 - 31023 2/3 V29","2014-06-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6086645.pdf","Yellow Racers","BI 3004/60+4 - 31023 2/3 V39","2014-06-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6086642.pdf","Yellow Racers","BI 3018 / 72+4 / 65+115g - 31023 1/3 V29","2014-06-02","2017-06-28"
"31023-1","http://cache.lego.com/bigdownloads/buildinginstructions/6086643.pdf","Yellow Racers","BI 3018 / 72+4 / 65+115g - 31023 1/3 V39","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6093268.pdf","Roaring Power","BI 3018 / 52 - 31024 3/3 V29/110","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6093269.pdf","Roaring Power","BI 3018 / 52 - 31024 3/3 V39","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6092125.pdf","Roaring Power","BI 3018/60-56g 31024 2/3 V29/110","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6092126.pdf","Roaring Power","BI 3018/60-56g 31024 2/3 V39","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6096228.pdf","Roaring Power","BI 3018/76+4-65+115G 31024 1/3 V29/110","2014-06-02","2017-06-28"
"31024-1","http://cache.lego.com/bigdownloads/buildinginstructions/6096232.pdf","Roaring Power","BI 3018/76+4-65+115G 31024 1/3 V39","2014-06-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6091470.pdf","Mountain Hut","BI 3016 60/65g - 31025 BOOK 3/3 V29","2014-01-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6091471.pdf","Mountain Hut","BI 3016 60/65g - 31025 BOOK 3/3 V39","2014-01-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073975.pdf","Mountain Hut","BI 3016/56 - 31025 BOOK 2/3 V29","2014-01-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073976.pdf","Mountain Hut","BI 3016/56 - 31025 BOOK 2/3 V39","2014-01-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073972.pdf","Mountain Hut","BI 3016/72+4 - 31025 BOOK 1/3 V29","2014-01-02","2017-06-28"
"31025-1","http://cache.lego.com/bigdownloads/buildinginstructions/6073974.pdf","Mountain Hut","BI 3016/72+4 - 31025 BOOK 1/3 V39","2014-01-02","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089607.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089609.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089583.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089592.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089613.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089614.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089610.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6089611.pdf","Bike Shop & Caf??","{No longer listed at LEGO.com}","2014-06-02","2015-05-22"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147258.pdf","Bike Shop & Café","BI 3016/64+4/65+115g, 31026 1/4 V29","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147295.pdf","Bike Shop & Café","BI 3016/64+4/65+115g, 31026 1/4 V39","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147264.pdf","Bike Shop & Café","BI 3016/68+4*, 31026 4/4 V29","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147300.pdf","Bike Shop & Café","BI 3016/68+4*, 31026 4/4 V39","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147263.pdf","Bike Shop & Café","BI 3016/72+4/65+115g, 31026 3/4 V29","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147299.pdf","Bike Shop & Café","BI 3016/72+4/65+115g, 31026 3/4 V39","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147260.pdf","Bike Shop & Café","BI 3016/80+4/65+115g, 31026 2/4 V29","2015-06-04","2017-06-28"
"31026-1","http://cache.lego.com/bigdownloads/buildinginstructions/6147296.pdf","Bike Shop & Café","BI 3016/80+4/65+115g, 31026 2/4 V39","2015-06-04","2017-06-28"
"31027-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112287.pdf","Blue Racer","BI 3001/32 - 31027 V29","2015-01-02","2017-06-28"
"31027-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112292.pdf","Blue Racer","BI 3001/32 - 31027 V39","2014-12-06","2017-06-28"
"31028-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112317.pdf","Sea Plane","BI 3001/36-65G, 31028 V39","2014-12-06","2017-06-28"
"31028-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112315.pdf","Sea Plane","BI 3001/36-65G, 31028 V29","2015-01-02","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112303.pdf","Cargo Heli","BI 3003/24 - 31029 V29 3/3","2015-01-02","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112302.pdf","Cargo Heli","BI 3003/28- 31029 V29 2/3","2015-01-02","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112297.pdf","Cargo Heli","BI 3003/36- 31029 V29 1/3","2015-01-02","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112308.pdf","Cargo Heli","BI 3003/24 - 31029 V39 3/3","2014-12-06","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112305.pdf","Cargo Heli","BI 3003/28- 31029 V39 2/3","2014-12-06","2017-06-28"
"31029-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112304.pdf","Cargo Heli","BI 3003/36- 31029 V39 1/3","2014-12-06","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112329.pdf","Red Go-Kart","BI 3003/20- 31030 V39 3/3","2014-12-06","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112326.pdf","Red Go-Kart","BI 3003/28- 31030 V39 2/3","2014-12-06","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112324.pdf","Red Go-Kart","BI 3003/32- 31030 V39 1/3","2014-12-06","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112327.pdf","Red Go-Kart","BI 3003/20- 31030 V29 3/3","2015-01-02","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112325.pdf","Red Go-Kart","BI 3003/28- 31030 V29 2/3","2015-01-02","2017-06-28"
"31030-1","http://cache.lego.com/bigdownloads/buildinginstructions/6112320.pdf","Red Go-Kart","BI 3003/32- 31030 V29 1/3","2015-01-02","2017-06-28"
"31031-1","http://cache.lego.com/bigdownloads/buildinginstructions/6129369.pdf","Rainforest Animals","BI 3004 60/ - 31031 V29 1/3","2015-01-02","2017-06-28"
